Company_CSR,avg_sentiment,sentiment_sq,e_score,s_score,g_score,total_score,post_count
boston scientific,0.1265950276575276,0.016026301027610174,3.16,18.0,11.83,32.98,1.0
boston scientific,0.1265950276575276,0.016026301027610174,2.83,12.86,10.32,26.02,1.0
extra space storage,0.1088495265805048,0.011848219436800022,3.81,4.28,5.86,13.94,1.0
archer daniels midland,,,16.38,14.2,5.9,36.36,
archer daniels midland,,,15.89,13.51,5.38,34.78,
archer daniels midland,,,15.91,13.49,4.85,34.25,
best buy,0.1766102236891752,0.0311911711115405,2.11,5.2,4.6,11.92,17.0
apple inc.,0.1014268582156227,0.01028740756749203,0.55,13.58,10.47,24.32,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.18,7.69,8.86,16.72,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.65,6.86,8.95,16.45,15.0
apple inc.,0.1014268582156227,0.01028740756749203,0.46,7.39,9.37,17.22,15.0
arch capital group,,,1.9,10.12,13.95,25.98,
arch capital group,,,2.02,10.58,13.62,26.22,
arch capital group,,,2.01,7.78,13.17,22.96,
adobe inc.,0.0938789308263286,0.00881325365309459,0.47,7.97,5.23,13.87,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,0.45,8.06,5.05,13.54,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,0.48,5.65,4.74,10.88,6.0
adobe inc.,0.0938789308263286,0.00881325365309459,1.42,5.84,4.64,11.9,6.0
autodesk,0.0866131209648255,0.0075018327232674945,1.27,12.97,5.63,19.73,5.0
autodesk,0.0866131209648255,0.0075018327232674945,1.28,12.77,5.46,19.52,5.0
autodesk,0.0866131209648255,0.0075018327232674945,1.37,9.22,4.78,15.36,5.0
autodesk,0.0866131209648255,0.0075018327232674945,2.73,8.53,4.6,15.86,5.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.91,11.8,7.34,21.05,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.98,11.51,7.62,21.11,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,1.93,10.35,7.45,19.73,1.0
akamai technologies,0.0385078219013236,0.0014828523475840572,2.96,7.0,6.82,16.78,1.0
amgen,0.0991836474064527,0.009837395912847532,0.03,16.38,7.07,23.41,2.0
amgen,0.0991836474064527,0.009837395912847532,0.03,14.73,6.76,21.51,2.0
amgen,0.0991836474064527,0.009837395912847532,0.03,13.18,6.5,19.71,2.0
amazon,0.1190624029142319,0.014175855787710896,6.66,15.55,11.0,33.69,52.0
amazon,0.1190624029142319,0.014175855787710896,5.74,13.46,10.8,30.0,52.0
amazon,0.1190624029142319,0.014175855787710896,5.44,12.93,9.73,28.09,52.0
amazon,0.1190624029142319,0.014175855787710896,5.71,14.62,9.86,30.18,52.0
nasdaq,0.0820548095971824,0.006732991778029856,0.75,9.96,5.22,15.93,1.0
nasdaq,0.0820548095971824,0.006732991778029856,0.94,9.46,4.99,15.4,1.0
nasdaq,0.0820548095971824,0.006732991778029856,1.13,8.96,4.88,14.98,1.0
nasdaq,0.0820548095971824,0.006732991778029856,0.86,7.32,4.93,13.12,1.0
apa corporation,,,21.98,8.88,7.96,38.81,
broadcom,0.1056208885410007,0.011155772096190493,8.99,8.39,8.71,26.09,13.0
broadcom,0.1056208885410007,0.011155772096190493,8.96,8.66,7.9,25.52,13.0
biogen,0.1316203405697679,0.01732391405170169,0.04,14.99,8.49,23.52,10.0
biogen,0.1316203405697679,0.01732391405170169,0.03,15.3,8.03,23.36,10.0
biogen,0.1316203405697679,0.01732391405170169,0.02,14.65,7.54,22.2,10.0
biogen,0.1316203405697679,0.01732391405170169,0.02,13.07,7.82,20.91,10.0
booking holdings,0.0707003800905373,0.0049985437449464425,4.37,9.5,6.23,20.31,4.0
booking holdings,0.0707003800905373,0.0049985437449464425,3.88,9.4,6.15,19.43,4.0
booking holdings,0.0707003800905373,0.0049985437449464425,3.88,9.68,6.31,19.87,4.0
cboe global markets,,,2.97,9.24,9.43,21.64,
cboe global markets,,,2.57,7.19,8.98,18.69,
cboe global markets,,,2.85,7.43,9.19,19.47,
cadence design systems,,,1.37,10.9,5.97,18.72,
cadence design systems,,,1.16,10.51,5.51,17.18,
cadence design systems,,,1.14,9.85,5.27,16.26,
c.h. robinson,0.1413083820730097,0.019968058844091686,6.51,12.91,6.55,26.0,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,6.44,13.0,6.45,25.89,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,5.83,12.36,6.28,24.48,2.0
c.h. robinson,0.1413083820730097,0.019968058844091686,4.89,9.42,5.63,19.94,2.0
cincinnati financial,,,1.71,9.14,15.89,26.7,
cincinnati financial,,,1.71,9.42,15.3,26.42,
